id,Country,Current Climate State,Climate Trend
1,Albania,Mediterranean climate variable rainfall,Increasing temperatures
2,Belarus,Humid continental climate,Warming changing precipitation patterns
3,Bosnia and Herzegovina,Mediterranean and continental climate,Rising temperatures variable precipitation
4,Bulgaria,Variable climate continental and Mediterranean influences,Rising temperatures variable rainfall
5,Croatia,Mediterranean climate along the coast continental climate inland,Increasing temperatures variable rainfall
6,Czech Republic,Temperate climate continental influences,Increasing temperatures variable precipitation
7,Estonia,Maritime climate cool summers mild winters,Warming temperatures changing precipitation patterns
8,Hungary,Continental climate,Increasing temperatures variable precipitation
9,Latvia,Maritime climate cool summers mild winters,Warming temperatures changing precipitation patterns
10,Lithuania,Maritime climate cool summers mild winters,Warming temperatures changing precipitation patterns
11,Moldova,Moderate continental climate,Rising temperatures changing rainfall patterns
12,Montenegro,Mediterranean climate variable rainfall,Increasing temperatures
13,North Macedonia,Mediterranean and continental climate,Rising temperatures variable precipitation
14,Poland,Variable climate continental influences,Increasing temperatures changing precipitation patterns
15,Romania,Variable climate continental influences,Increasing temperatures changing precipitation patterns
16,Russia,Diverse climate from Arctic to subtropical,Warming changing precipitation patterns
17,Serbia,Variable climate continental influences,Increasing temperatures changing precipitation patterns
18,Slovakia,Temperate climate continental influences,Increasing temperatures variable precipitation
19,Slovenia,Mediterranean and continental climate,Rising temperatures variable precipitation
20,Ukraine,Diverse climate from temperate to continental,Warming changing precipitation patterns
